VAR;LOC;ID;1:F;1:Fm';1:Temp;1:Y (II);1:Fo';1:qP;1:qN;1:qL;1:NPQ;1:Y (NO);1:Y (NPQ);1:Fo;1:Fm;1:Fv/Fm
CBD_V;a;L273;39;104;15.9;0.625;28;0.855;0.038;0.614;0.029;0.364;0.011;28;107;0.738
CBD_C;b;L274;44;109;14.5;0.596;28;0.802;0.024;0.51;0.018;0.396;0.008;28;111;0.748
CBD_C;c;L275;52;127;14.8;0.591;32;0.789;0.01;0.486;0.008;0.406;0.003;32;128;0.75
CBD_C;d;L276;34;82;16.2;0.585;23;0.814;0.017;0.551;0.012;0.41;0.005;23;83;0.723
CBD_C;a;L277;37;94;16.5;0.606;24;0.814;0;0.528;0;0.394;0;24;94;0.745
CBD_P;b;L278;63;86;15;0.267;54;0.719;0;0.616;0;0.733;0;54;86;0.372
CBD_P;c;L279;47;117;15;0.598;31;0.814;0.023;0.537;0.017;0.395;0.007;31;119;0.739
CBD_P;d;L280;47;102;16.7;0.539;29;0.753;0.027;0.465;0.02;0.452;0.009;29;104;0.721
CBD_P;a;L281;42;99;16.5;0.576;25;0.77;0.039;0.458;0.03;0.412;0.012;25;102;0.755
CBD_V;b;L282;49;97;15;0.495;31;0.727;0.015;0.46;0.01;0.5;0.005;31;98;0.684
CBD_V;c;L283;43;106;15;0.594;29;0.818;0.025;0.552;0.019;0.398;0.008;29;108;0.731
CBD_V;d;L284;51;109;16.5;0.532;29;0.725;0.012;0.412;0.009;0.464;0.004;29;110;0.736
CBD_V;a;L285;41;108;16.7;0.62;29;0.848;0.025;0.6;0.019;0.373;0.007;29;110;0.736
CBD_C;b;L286;39;96;16;0.594;26;0.814;-0.014;0.543;-0.01;0.411;-0.005;26;95;0.726
CBD_C;c;L287;42;103;16.2;0.592;25;0.782;0;0.465;0;0.408;0;25;103;0.757
CBD_C;d;L288;44;102;16;0.569;24;0.744;-0.013;0.406;-0.01;0.436;-0.005;24;101;0.762
